SEMESTER,SUBJECT,CATALOGNUMBER,LOCATION,ENROLMENTCAPACITY,ENROLMENTTOTAL,INSTRUCTORS,COMPONENTCODE
1091,ENSC    ,498,BURNABY   ,10,5,. Faculty                                                                                                                                                                                                                                                 ,SEC
1104,ENSC    ,331,SURREY    ,66,53,Behraad Bahreyni                                                                                                                                                                                                                                          ,LEC
1081,IAT     ,352,SURREY    ,48,27,Marek Hatala                                                                                                                                                                                                                                              ,LEC
1131,ENSC    ,372,BURNABY   ,20,18,Bonnie Gray                                                                                                                                                                                                                                               ,TUT
1171,MATH    ,150,BURNABY   ,35,31,"Jamie Mulholland, Veselin Jungic                                                                                                                                                                                                                          ",SEC
1121,MATH    ,880,BURNABY   ,3,0,. Faculty                                                                                                                                                                                                                                                 ,SEC
1084,MATH    ,880,BURNABY   ,3,0,. Faculty                                                                                                                                                                                                                                                 ,SEC
1087,CMPT    ,225,BURNABY   ,132,125,Maryam Aliyar                                                                                                                                                                                                                                             ,LEC
1097,CMPT    ,225,BURNABY   ,110,83,Michael Evans                                                                                                                                                                                                                                             ,LEC
1104,CMPT    ,225,BURNABY   ,104,91,Bradley Bart                                                                                                                                                                                                                                              ,LEC
1181,CMPT    ,888,BURNABY   ,25,13,Parmit Chilana                                                                                                                                                                                                                                            ,LEC
1101,MATH    ,155,BURNABY   ,60,0,<null>,OPL
1091,CMNS    ,110,BURNABY   ,18,19,<null>,TUT
1084,CMNS    ,473,HRBRCNTR  ,7,7,<null>,LAB
1091,MACM    ,201,SURREY    ,48,0,<null>,OPL
1081,CMPT    ,165,BURNABY   ,35,33,<null>,LAB
1081,CMPT    ,165,SURREY    ,24,22,<null>,LAB
1081,CMPT    ,165,SURREY    ,24,17,<null>,LAB
1121,ENSC    ,395,OFF       ,10,11,<null>,SEC
1161,ENSC    ,898,BURNABY   ,100,21,<null>,SEC
1171,ENSC    ,898,BURNABY   ,100,27,<null>,SEC
1124,MATH    ,150,BURNABY   ,0,0,<null>,OPL
1181,MSE     ,899,OFF       ,0,1,<null>,SEC
1137,CMPT    ,745,BURNABY   ,15,0,<null>,LEC
1081,MATH    ,150,SURREY    ,0,0,<null>,OPL
1084,KIN     ,304W      ,BURNABY   ,16,0,<null>,TUT
1111,CMPT    ,429,OFF       ,1,0,"Frances McLafferty, Navinder Chima                                                                                                                                                                                                                        ",SEC
1144,CMPT    ,429,OFF       ,5,2,Harriet Chicoine                                                                                                                                                                                                                                          ,SEC
1154,CMPT    ,429,SURREY    ,5,5,Harriet Chicoine                                                                                                                                                                                                                                          ,SEC
1094,CMPT    ,426,BURNABY   ,30,23,Harriet Chicoine                                                                                                                                                                                                                                          ,SEC
1114,ENSC    ,442,SURREY    ,35,0,<null>,SEM
1111,MACM    ,201,SURREY    ,60,0,<null>,LEC
1151,ENSC    ,820,BURNABY   ,50,13,Peter Walters                                                                                                                                                                                                                                             ,LEC
1091,KIN     ,407,BURNABY   ,13,14,Robert Asmundson                                                                                                                                                                                                                                          ,LAB
1081,KIN     ,407,BURNABY   ,13,13,Robert Asmundson                                                                                                                                                                                                                                          ,LAB
1084,KIN     ,431,BURNABY   ,54,41,Miriam Rosin                                                                                                                                                                                                                                              ,LEC
1084,KIN     ,885,BURNABY   ,25,5,Christine MacKenzie                                                                                                                                                                                                                                       ,SEM
1087,REM     ,643,BURNABY   ,20,12,Thomas Gunton                                                                                                                                                                                                                                             ,SEM
1124,ENSC    ,395,SURREY    ,50,9,<null>,SEC
1154,MSE     ,111,SURREY    ,14,0,<null>,TUT
1111,ENSC    ,295,BURNABY   ,25,22,<null>,SEC
1111,ENSC    ,428,BURNABY   ,1,0,<null>,OPL
1157,ENSC    ,498,BURNABY   ,10,1,<null>,SEC
1134,ENSC    ,403,BURNABY   ,1,1,<null>,SEC
1087,ENSC    ,400,BURNABY   ,10,2,<null>,SEC
1117,ENSC    ,387,SURREY    ,30,34,<null>,LAB
1127,ENSC    ,295,OFF       ,25,6,<null>,SEC
1141,ENSC    ,891,OFF       ,15,0,<null>,SEC
1081,MATH    ,1XX       ,BURNABY   ,10,3,<null>,LEC
1164,ENSC    ,499,BURNABY   ,10,5,<null>,SEC
1091,MATH    ,1XX       ,BURNABY   ,30,11,<null>,LEC
1177,ENSC    ,891,OFF       ,10,1,<null>,SEC
1111,CMPT    ,250,BURNABY   ,26,26,Anthony Dixon                                                                                                                                                                                                                                             ,LAB
1137,CMPT    ,429,METRO     ,30,4,Harriet Chicoine                                                                                                                                                                                                                                          ,SEC
1141,ENSC    ,225,BURNABY   ,98,98,Meenakshinathan Parameswaran                                                                                                                                                                                                                              ,TUT
1181,MATH    ,152,BURNABY   ,35,20,Jamie Mulholland                                                                                                                                                                                                                                          ,LEC
1151,MATH    ,821,BURNABY   ,25,5,Marni Mishna                                                                                                                                                                                                                                              ,LEC
1167,MATH    ,821,BURNABY   ,15,10,Marni Mishna                                                                                                                                                                                                                                              ,LEC
1157,MATH    ,603,BURNABY   ,20,13,Rina Zazkis                                                                                                                                                                                                                                               ,SEM
1104,MATH    ,486,OFF       ,20,0,Faye Stefan                                                                                                                                                                                                                                               ,SEC
1141,MATH    ,486,OFF       ,20,0,Stuart Billings                                                                                                                                                                                                                                           ,SEC
1141,MSE     ,391,SURREY    ,100,0,<null>,SEM
1141,MACM    ,316,BURNABY   ,36,36,<null>,TUT
1121,MATH    ,100,SURREY    ,90,0,<null>,LEC
1081,KIN     ,326,BURNABY   ,25,24,<null>,LAB
1081,REM     ,412,BURNABY   ,18,5,Sean Cox                                                                                                                                                                                                                                                  ,LEC
1081,CMNS    ,110,BURNABY   ,18,17,<null>,TUT
1087,CMNS    ,331,BURNABY   ,18,17,<null>,TUT
1081,CMPT    ,165,BURNABY   ,35,35,<null>,LAB
1141,MACM    ,201,BURNABY   ,60,0,<null>,OPL
1124,ENSC    ,331,SURREY    ,27,0,<null>,LAB
1151,ENSC    ,820,BURNABY   ,50,0,<null>,LEC
1101,ENSC    ,295,OFF       ,2,2,<null>,SEC
1111,ENSC    ,295,OFF       ,10,7,<null>,SEC
1121,ENSC    ,428,BURNABY   ,20,22,<null>,TUT
1107,ENSC    ,395,BURNABY   ,12,11,<null>,SEC
1094,ENSC    ,395,OFF       ,10,3,<null>,SEC
1131,ENSC    ,395,OFF       ,10,4,<null>,SEC
1127,CMPT    ,120,HRBRCNTR  ,26,0,<null>,LEC
1091,IAT     ,267,SURREY    ,24,0,<null>,STL
1081,IAT     ,333,SURREY    ,0,0,<null>,STL
1087,KIN     ,207,BURNABY   ,19,19,<null>,TUT
1087,KIN     ,305,BURNABY   ,19,19,<null>,TUT
1171,MACM    ,201,SURREY    ,60,0,<null>,OPL
1111,MATH    ,100,BURNABY   ,60,0,<null>,OPL
1127,MACM    ,316,BURNABY   ,32,29,<null>,TUT
1167,CMPT    ,732,BURNABY   ,21,0,<null>,LAB
1167,MATH    ,157,BURNABY   ,60,0,<null>,OPL
1167,CMPT    ,732,BURNABY   ,65,0,<null>,LAB
1114,MATH    ,898,BURNABY   ,35,33,<null>,SEC
1121,MATH    ,190,BURNABY   ,60,0,<null>,OPL
1131,MATH    ,190,BURNABY   ,60,0,<null>,OPL
1174,MATH    ,310,BURNABY   ,36,33,<null>,TUT
1174,MATH    ,310,BURNABY   ,34,33,<null>,TUT
1147,MSE     ,899,OFF       ,10,2,<null>,SEC
1081,KIN     ,201,BURNABY   ,18,12,<null>,TUT
1167,MATH    ,251,SURREY    ,60,0,<null>,OPL
1167,MATH    ,251,BURNABY   ,60,0,<null>,OPL
1161,MACM    ,201,SURREY    ,60,0,<null>,OPL
1091,REM     ,412,BURNABY   ,0,0,<null>,LEC
1137,MACM    ,316,BURNABY   ,36,34,<null>,TUT
1127,MACM    ,316,BURNABY   ,33,27,<null>,TUT
1164,MATH    ,894,BURNABY   ,6,0,<null>,SEC
1174,MATH    ,894,BURNABY   ,6,0,<null>,SEC
1097,MATH    ,898,BURNABY   ,35,15,<null>,SEC
1117,MATH    ,310,BURNABY   ,34,34,<null>,TUT
1127,MATH    ,309,SURREY    ,36,28,<null>,TUT
1087,CMNS    ,261,BURNABY   ,18,18,<null>,TUT
1124,MATH    ,310,BURNABY   ,40,40,<null>,TUT
1134,MATH    ,310,BURNABY   ,40,32,<null>,TUT
1084,MATH    ,899,BURNABY   ,35,22,<null>,SEC
1147,MATH    ,310,BURNABY   ,32,31,<null>,TUT
1127,MATH    ,308,BURNABY   ,44,41,<null>,TUT
1091,CMNS    ,260,BURNABY   ,18,18,<null>,TUT
1111,CMPT    ,225,BURNABY   ,0,0,<null>,LAB
1167,ENSC    ,891,OFF       ,10,0,<null>,SEC
1094,KIN     ,807,BURNABY   ,0,0,<null>,SEM
1121,ENSC    ,851,BURNABY   ,7,7,<null>,LAB
1131,ENSC    ,492,BURNABY   ,2,0,<null>,SEC
1171,MACM    ,201,BURNABY   ,60,0,<null>,OPL
1091,KIN     ,326,BURNABY   ,25,25,<null>,LAB
1087,KIN     ,305,BURNABY   ,19,19,<null>,TUT
1177,MACM    ,316,BURNABY   ,36,36,<null>,TUT
1104,MACM    ,316,BURNABY   ,32,32,<null>,TUT
1087,KIN     ,305,BURNABY   ,19,19,<null>,TUT
1177,MACM    ,316,BURNABY   ,36,36,<null>,TUT
1137,MACM    ,316,BURNABY   ,36,32,<null>,TUT
1177,CMPT    ,732,BURNABY   ,70,0,<null>,LEC
1177,MATH    ,157,BURNABY   ,60,0,<null>,OPL
1154,MACM    ,316,BURNABY   ,40,36,<null>,TUT
1164,MATH    ,894,BURNABY   ,6,0,<null>,SEC
1164,MATH    ,894,BURNABY   ,6,0,<null>,SEC
1094,MATH    ,242,BURNABY   ,40,34,<null>,TUT
1117,MATH    ,242,BURNABY   ,32,28,<null>,TUT
1091,CMNS    ,210,SURREY    ,18,16,<null>,TUT
1081,CMNS    ,221,HRBRCNTR  ,19,19,<null>,TUT
1084,CMNS    ,304W      ,BURNABY   ,0,0,<null>,TUT
1094,ENSC    ,493,BURNABY   ,5,1,<null>,SEC
1131,ENSC    ,395,BURNABY   ,20,22,<null>,SEC
1131,ENSC    ,395,OFF       ,10,4,<null>,SEC
1121,ENSC    ,395,SURREY    ,20,9,<null>,SEC
1101,ENSC    ,350,BURNABY   ,1,0,<null>,OPL
1111,ENSC    ,295,SURREY    ,25,13,<null>,SEC
1127,ENSC    ,295,OFF       ,20,1,<null>,SEC
1134,ENSC    ,898,BURNABY   ,120,40,<null>,SEC
1107,ENSC    ,499,BURNABY   ,6,4,<null>,SEC
1157,ENSC    ,898,BURNABY   ,100,24,<null>,SEC
1161,ENSC    ,898,OFF       ,50,2,<null>,SEC
1107,ENSC    ,395,OFF       ,6,4,<null>,SEC
1127,ENSC    ,295,BURNABY   ,25,17,<null>,SEC
1137,ENSC    ,295,BURNABY   ,25,20,<null>,SEC
1101,ENSC    ,295,OFF       ,20,5,<null>,SEC
1094,MATH    ,310,BURNABY   ,32,30,<null>,TUT
1124,MATH    ,310,BURNABY   ,40,39,<null>,TUT
1084,KIN     ,201,BURNABY   ,17,0,<null>,TUT
1094,KIN     ,205,BURNABY   ,18,18,<null>,TUT
1087,KIN     ,241,BURNABY   ,19,19,<null>,LAB
1087,KIN     ,207,BURNABY   ,19,17,<null>,TUT
1081,KIN     ,205,BURNABY   ,18,18,<null>,TUT
1091,MATH    ,154,BURNABY   ,60,0,<null>,OPL
1151,MACM    ,316,BURNABY   ,32,16,<null>,TUT
1081,KIN     ,201,BURNABY   ,18,15,<null>,TUT
1091,KIN     ,201,BURNABY   ,18,18,<null>,TUT
1084,KIN     ,205,BURNABY   ,19,7,<null>,TUT
1087,KIN     ,481,BURNABY   ,19,19,<null>,TUT
1114,MACM    ,316,BURNABY   ,32,32,<null>,TUT
1167,MACM    ,316,BURNABY   ,40,37,<null>,TUT
1151,MACM    ,316,BURNABY   ,35,32,<null>,TUT
1141,MACM    ,316,BURNABY   ,42,42,<null>,TUT
1101,MACM    ,316,BURNABY   ,0,0,<null>,TUT
1157,MACM    ,201,BURNABY   ,60,0,<null>,OPL
1117,MATH    ,310,BURNABY   ,33,33,<null>,TUT
1117,MATH    ,310,BURNABY   ,64,64,<null>,TUT
1177,MATH    ,308,SURREY    ,30,30,<null>,TUT
1167,MATH    ,308,SURREY    ,32,21,<null>,TUT
1107,MATH    ,242,BURNABY   ,30,28,<null>,TUT
1174,MATH    ,894,BURNABY   ,6,0,<null>,SEC
1121,MATH    ,899,BURNABY   ,35,23,<null>,SEC
1157,MATH    ,310,BURNABY   ,32,31,<null>,TUT
1157,MATH    ,310,SURREY    ,32,31,<null>,TUT
1164,MATH    ,310,BURNABY   ,43,42,<null>,TUT
1107,MATH    ,310,BURNABY   ,34,34,<null>,TUT
1091,ENSC    ,476,BURNABY   ,20,0,<null>,OPL
1117,ENSC    ,201,BURNABY   ,0,0,<null>,LEC
1177,MATH    ,308,SURREY    ,30,8,<null>,TUT
1137,MATH    ,251,BURNABY   ,60,0,<null>,OPL
1107,MATH    ,242,BURNABY   ,30,15,<null>,TUT
1081,CMNS    ,210,HRBRCNTR  ,18,20,<null>,TUT
1141,MATH    ,898,OFF       ,10,0,<null>,SEC
1091,CMNS    ,110,BURNABY   ,18,17,<null>,TUT
1147,MATH    ,310,SURREY    ,32,32,<null>,TUT
1091,CMNS    ,221,SURREY    ,18,20,<null>,TUT
1094,CMNS    ,210,HRBRCNTR  ,18,19,<null>,TUT
1114,MATH    ,240,BURNABY   ,0,0,<null>,LAB
1094,CMNS    ,260,BURNABY   ,18,16,<null>,TUT
1094,CMNS    ,473,HRBRCNTR  ,8,8,<null>,LAB
1097,CMPT    ,300,BURNABY   ,85,0,<null>,LEC
1081,MATH    ,343,SURREY    ,30,0,<null>,LEC
1107,ENSC    ,470,BURNABY   ,20,0,<null>,LEC
1087,KIN     ,809,BURNABY   ,10,0,<null>,SEC
1094,ENSC    ,395,SURREY    ,25,0,<null>,SEC
1091,MACM    ,201,BURNABY   ,60,0,<null>,OPL
1084,MATH    ,242,BURNABY   ,35,10,<null>,TUT
1084,MATH    ,310,BURNABY   ,32,27,<null>,TUT
1134,MSE     ,394,OFF       ,10,0,<null>,SEC
1121,MATH    ,150,BURNABY   ,60,0,<null>,OPL
1107,MATH    ,150,BURNABY   ,0,0,<null>,OPL
1087,CMNS    ,331,BURNABY   ,0,0,<null>,TUT
1087,ENSC    ,295,OFF       ,50,0,<null>,SEC
1124,ENSC    ,220,BURNABY   ,85,0,<null>,LEC
1091,IAT     ,202,SURREY    ,23,0,<null>,STL
1117,MATH    ,880,BURNABY   ,3,0,<null>,SEC
1107,MATH    ,880,BURNABY   ,3,0,<null>,SEC
1087,MACM    ,316,BURNABY   ,32,30,<null>,TUT
1164,MATH    ,310,BURNABY   ,43,40,<null>,TUT
1107,MATH    ,310,SURREY    ,24,24,<null>,TUT
1134,CMPT    ,135,SURREY    ,0,0,<null>,LEC
1114,MATH    ,152,BURNABY   ,0,0,<null>,OPL
1087,MACM    ,316,BURNABY   ,32,0,<null>,TUT
1167,MSE     ,220,SURREY    ,0,0,<null>,LEC
1094,ENSC    ,220,BURNABY   ,25,0,<null>,TUT
1124,CMPT    ,815,BURNABY   ,30,0,<null>,SEM
1131,MATH    ,320,BURNABY   ,32,0,<null>,TUT
1141,MATH    ,157,SURREY    ,60,0,<null>,OPL
1137,MSE     ,493,SURREY    ,20,0,<null>,SEC
1084,CMNS    ,210,HRBRCNTR  ,18,19,<null>,TUT
1084,CMNS    ,210,HRBRCNTR  ,18,16,<null>,TUT
1094,CMNS    ,210,HRBRCNTR  ,18,13,<null>,TUT
1081,ENSC    ,225,BURNABY   ,80,0,<null>,OPL
1111,ENSC    ,225,BURNABY   ,0,0,<null>,TUT
1181,MACM    ,203,BURNABY   ,16,16,<null>,LAB
1107,ENSC    ,182,SURREY    ,24,22,<null>,LAB
1117,ENSC    ,182,SURREY    ,24,24,<null>,TUT
1094,MATH    ,880,BURNABY   ,3,0,<null>,SEC
1137,MATH    ,348,SURREY    ,34,25,<null>,TUT
1137,ENSC    ,100W      ,BURNABY   ,8,8,<null>,TUT
1124,MATH    ,254,BURNABY   ,35,32,<null>,TUT
1141,MATH    ,380W      ,BURNABY   ,32,19,<null>,TUT
1097,ENSC    ,374,BURNABY   ,12,4,<null>,LAB
1174,ENSC    ,402,BURNABY   ,5,0,<null>,SEC
1151,ENSC    ,494,BURNABY   ,10,1,<null>,SEC
1181,ENSC    ,492,BURNABY   ,2,0,<null>,SEC
1147,MATH    ,894,BURNABY   ,6,0,<null>,SEC
1117,ENSC    ,894,BURNABY   ,0,0,<null>,LEC
1167,MATH    ,157,SURREY    ,60,0,<null>,OPL
1097,MATH    ,302,BURNABY   ,32,10,<null>,TUT
1084,CMNS    ,304W      ,BURNABY   ,18,5,<null>,TUT
1121,ENSC    ,372,BURNABY   ,20,0,<null>,TUT
1081,CMNS    ,304W      ,BURNABY   ,15,12,<null>,TUT
1157,MATH    ,150,BURNABY   ,60,0,<null>,OPL
1161,MATH    ,150,BURNABY   ,60,0,<null>,OPL
1137,MSE     ,393,SURREY    ,25,0,<null>,SEC
1137,MSE     ,393,OFF       ,10,0,<null>,SEC
1131,ENSC    ,412,BURNABY   ,15,0,<null>,LEC
1084,KIN     ,304W      ,BURNABY   ,16,17,<null>,TUT
1087,ENSC    ,100W      ,BURNABY   ,7,7,<null>,RQL
1087,ENSC    ,100W      ,BURNABY   ,5,5,<null>,RQL
1097,ENSC    ,100W      ,BURNABY   ,7,7,<null>,RQL
1164,ENSC    ,402,BURNABY   ,5,0,<null>,SEC
1091,CMPT    ,150,HRBRCNTR  ,25,13,<null>,LAB
1097,ENSC    ,100W      ,BURNABY   ,7,6,<null>,RQL
1087,ENSC    ,100,BURNABY   ,3,2,<null>,RQL
1124,ENSC    ,350,BURNABY   ,30,27,<null>,TUT
1097,ENSC    ,100,BURNABY   ,2,1,<null>,RQL
1087,ENSC    ,100,BURNABY   ,3,3,<null>,RQL
1087,CMNS    ,262,BURNABY   ,18,19,<null>,TUT
1101,CMPT    ,881,BURNABY   ,15,0,<null>,LEC
1081,CMPT    ,120,SURREY    ,24,0,<null>,LAB
1081,CMNS    ,235,BURNABY   ,18,19,<null>,TUT
1144,ENSC    ,896,BURNABY   ,10,2,<null>,SEC
1121,CMPT    ,165,BURNABY   ,60,0,<null>,LEC
1091,CMNS    ,258,BURNABY   ,0,0,<null>,LAB
1134,CMPT    ,135,SURREY    ,0,0,<null>,LEC
1181,CMPT    ,295,BURNABY   ,25,0,<null>,LEC
1094,IAT     ,100,SURREY    ,24,0,<null>,STL
1091,CMNS    ,200,KAM       ,10,0,<null>,SEC
1091,CMNS    ,110,BURNABY   ,18,18,<null>,TUT
1081,CMNS    ,375,HRBRCNTR  ,16,16,<null>,TUT
1094,CMNS    ,260,BURNABY   ,18,18,<null>,TUT
1081,CMNS    ,473,HRBRCNTR  ,15,13,<null>,LAB
1081,CMNS    ,473,HRBRCNTR  ,15,16,<null>,LAB
1081,CMPT    ,165,BURNABY   ,25,25,<null>,LAB
1141,MSE     ,727,SURREY    ,20,21,<null>,TUT
1164,MSE     ,891,SURREY    ,15,7,<null>,SEC
1174,MSE     ,891,SURREY    ,15,3,<null>,SEC
1114,ENSC    ,215,BURNABY   ,22,22,<null>,LAB
1164,MSE     ,722,SURREY    ,2,0,<null>,LAB
1111,ENSC    ,474,BURNABY   ,1,0,<null>,OPL
1081,KIN     ,304W      ,BURNABY   ,16,16,<null>,TUT
1137,ENSC    ,100W      ,BURNABY   ,8,8,<null>,TUT
1137,ENSC    ,100W      ,BURNABY   ,8,8,<null>,TUT
1087,CMNS    ,456,BURNABY   ,18,18,<null>,TUT
1151,ENSC    ,401,BURNABY   ,2,0,<null>,SEC
1091,CMPT    ,120,SURREY    ,24,0,<null>,LAB
1091,CMPT    ,120,SURREY    ,28,25,<null>,LAB
1097,ENSC    ,401,BURNABY   ,10,1,<null>,SEC
1081,CMNS    ,110,BURNABY   ,18,16,<null>,TUT
1087,CMNS    ,110,BURNABY   ,18,14,<null>,TUT
1087,CMNS    ,478,HRBRCNTR  ,10,0,<null>,SEC
1124,ENSC    ,196,OFF       ,10,6,<null>,SEC
1087,ENSC    ,100W      ,BURNABY   ,6,6,<null>,RQL
1087,ENSC    ,100,BURNABY   ,1,0,<null>,RQL
1094,ENSC    ,898,BURNABY   ,75,64,<null>,SEC
1161,ENSC    ,493,BURNABY   ,2,0,<null>,SEC
1124,ENSC    ,395,OFF       ,10,5,<null>,SEC
1087,CMNS    ,891,OFF       ,5,0,<null>,SEC
1081,CMNS    ,110,BURNABY   ,18,16,<null>,TUT
1081,CMNS    ,221,HRBRCNTR  ,18,19,<null>,TUT
1084,CMNS    ,210,HRBRCNTR  ,18,17,<null>,TUT
1094,CMNS    ,210,HRBRCNTR  ,18,13,<null>,TUT
1084,CMNS    ,210,HRBRCNTR  ,18,18,<null>,TUT
1087,KIN     ,241,BURNABY   ,19,19,<null>,LAB
1091,KIN     ,205,BURNABY   ,18,14,<null>,TUT
1091,KIN     ,201,BURNABY   ,18,10,<null>,TUT
1087,KIN     ,306,BURNABY   ,18,18,<null>,TUT
1147,MATH    ,310,SURREY    ,32,21,<null>,TUT
1157,MATH    ,310,BURNABY   ,36,34,<null>,TUT
1137,MATH    ,308,BURNABY   ,36,36,<null>,TUT
1117,MATH    ,154,BURNABY   ,60,0,<null>,OPL
1084,MATH    ,310,BURNABY   ,32,28,<null>,TUT
1161,MATH    ,896,BURNABY   ,6,0,<null>,SEC
1101,MATH    ,314,BURNABY   ,20,11,<null>,TUT
1117,MATH    ,310,SURREY    ,32,32,<null>,TUT
1134,MATH    ,899,BURNABY   ,35,27,<null>,SEC
1147,MATH    ,899,BURNABY   ,35,25,<null>,SEC
1174,MATH    ,310,BURNABY   ,36,36,<null>,TUT
1171,CMPT    ,129,BURNABY   ,125,42,Janice Regan                                                                                                                                                                                                                                              ,LEC
1091,CMNS    ,375,HRBRCNTR  ,11,13,<null>,TUT
1087,CMNS    ,362,HRBRCNTR  ,18,6,<null>,TUT
1087,KIN     ,140,HRBRCNTR  ,18,18,<null>,TUT
1087,KIN     ,140,HRBRCNTR  ,18,18,<null>,TUT
1081,KIN     ,326,BURNABY   ,25,25,<null>,LAB
1101,MACM    ,316,BURNABY   ,30,30,<null>,TUT
1117,ENSC    ,100,BURNABY   ,3,4,<null>,TUT
1117,ENSC    ,220,SURREY    ,100,87,<null>,TUT
1137,ENSC    ,100,BURNABY   ,0,0,<null>,TUT
1134,ENSC    ,498,BURNABY   ,10,5,<null>,SEC
1097,ENSC    ,400,BURNABY   ,10,6,<null>,SEC
1114,MACM    ,316,BURNABY   ,32,29,<null>,TUT
1097,MACM    ,316,BURNABY   ,32,31,<null>,TUT
1134,MATH    ,310,BURNABY   ,40,24,<null>,TUT
1181,MATH    ,242,BURNABY   ,45,45,<null>,TUT
1117,MATH    ,310,SURREY    ,32,30,<null>,TUT
1094,MATH    ,310,BURNABY   ,32,32,<null>,TUT
1147,MATH    ,154,BURNABY   ,60,0,<null>,OPL
1101,MATH    ,309,BURNABY   ,32,30,<null>,TUT
1164,MATH    ,310,BURNABY   ,43,39,<null>,TUT
1114,MATH    ,897,BURNABY   ,6,0,<null>,SEC
1177,MATH    ,151,BURNABY   ,0,0,<null>,OPL
1081,CMNS    ,110,BURNABY   ,0,0,<null>,TUT
1097,MATH    ,208,SURREY    ,2,2,Randall Pyke                                                                                                                                                                                                                                              ,SEC
1124,ENSC    ,893,SURREY    ,8,0,Martin Ordonez                                                                                                                                                                                                                                            ,LEC
1081,MATH    ,320,BURNABY   ,32,29,<null>,TUT
1081,MATH    ,320,BURNABY   ,32,0,<null>,TUT
1104,MACM    ,316,BURNABY   ,32,29,<null>,TUT
1177,MACM    ,316,BURNABY   ,36,34,<null>,TUT
1167,MACM    ,316,BURNABY   ,40,24,<null>,TUT
1147,MATH    ,190,BURNABY   ,60,0,<null>,OPL
1181,MATH    ,190,BURNABY   ,60,0,<null>,OPL
1094,MACM    ,201,BURNABY   ,60,0,<null>,OPL
1121,ENSC    ,380,BURNABY   ,110,105,<null>,TUT
1167,MACM    ,316,BURNABY   ,40,37,<null>,TUT
1134,MATH    ,894,BURNABY   ,6,0,<null>,SEC
1157,MATH    ,232,BURNABY   ,60,0,<null>,OPL
1137,MATH    ,898,BURNABY   ,35,11,<null>,SEC
1161,MATH    ,190,BURNABY   ,60,0,<null>,OPL
1157,MATH    ,310,SURREY    ,32,5,<null>,TUT
1161,MATH    ,320,BURNABY   ,32,32,<null>,TUT
1151,MATH    ,314,BURNABY   ,32,6,<null>,TUT
1181,MATH    ,310,BURNABY   ,32,0,<null>,TUT
1127,MATH    ,308,BURNABY   ,43,39,<null>,TUT
1094,KIN     ,431,BURNABY   ,18,13,<null>,TUT
1151,ENSC    ,4XX       ,BURNABY   ,1,1,<null>,LEC
1087,KIN     ,140,KAM       ,12,0,<null>,SEC
1154,MSE     ,411W      ,SURREY    ,8,0,Flavio Firmani                                                                                                                                                                                                                                            ,OPL
1137,MSE     ,221,SURREY    ,54,58,Woo Soo Kim                                                                                                                                                                                                                                               ,LAB
1167,CMPT    ,127,BURNABY   ,56,41,Richard Vaughan                                                                                                                                                                                                                                           ,LAB
1164,ENSC    ,701,BURNABY   ,10,2,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1167,MSE     ,793,SURREY    ,5,0,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1154,CMPT    ,627,METRO     ,8,4,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1137,CMPT    ,627,OFF       ,10,0,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1154,CMPT    ,627,METRO     ,5,0,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1174,CMPT    ,627,OFF       ,1,0,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1124,CMPT    ,628,BURNABY   ,30,0,Cristina Eftenaru                                                                                                                                                                                                                                         ,PRA
1171,CMPT    ,166,SURREY    ,24,26,. Faculty                                                                                                                                                                                                                                                 ,LAB
1147,CMPT    ,166,SURREY    ,26,26,Toby Donaldson                                                                                                                                                                                                                                            ,LAB
1164,MSE     ,490,SURREY    ,24,22,Jiacheng Wang                                                                                                                                                                                                                                             ,LAB
1154,MSE     ,300,SURREY    ,124,118,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1141,MSE     ,494,OFF       ,10,1,Harriet Chicoine                                                                                                                                                                                                                                          ,SEC
1164,MSE     ,491,SURREY    ,20,16,Flavio Firmani                                                                                                                                                                                                                                            ,LAB
1141,ENSC    ,412,BURNABY   ,15,14,"John Jones, Ross Jamieson                                                                                                                                                                                                                                 ",LEC
1151,ENSC    ,412,BURNABY   ,15,12,"John Jones, Ross Jamieson                                                                                                                                                                                                                                 ",LEC
1167,CMPT    ,106,SURREY    ,24,21,Harinder Khangura                                                                                                                                                                                                                                         ,LAB
1127,ENSC    ,104,SURREY    ,105,101,Krishna Vijayaraghavan                                                                                                                                                                                                                                    ,LEC
1084,CMPT    ,726,BURNABY   ,35,32,Gregory Mori                                                                                                                                                                                                                                              ,LEC
1094,KIN     ,140,BURNABY   ,120,119,". Sessional, Penelope Deck                                                                                                                                                                                                                                ",SEC
1171,CMPT    ,166,SURREY    ,24,23,. Faculty                                                                                                                                                                                                                                                 ,LAB
1181,CHIN    ,281,BURNABY   ,8,3,Cynthia Xie                                                                                                                                                                                                                                               ,TUT
1091,TECH    ,124,SURREY    ,192,142,Joel Flynn                                                                                                                                                                                                                                                ,LEC
1117,ENSC    ,100,BURNABY   ,2,3,. Faculty                                                                                                                                                                                                                                                 ,TUT
1087,KIN     ,453,OFF       ,5,0,Darleen Bemister                                                                                                                                                                                                                                          ,PRA
